obj_512MB800MHzDDR2RAMKingstonKVR800D2N6512CL6;green;512MB800MHzDDR2RAMKingstonKVR800D2N6512CL6
obj_2GB1333MHzDDR3RAMKingmax;blue;2GB1333MHzDDR3RAMKingmax
obj_SapphireRadeonHD4650512MBDDR2AGP8x;blue;SapphireRadeonHD4650512MBDDR2AGP8x
obj_MSIRadeon4830T2D512OC512MBDDR3PCIExpress;red;MSIRadeon4830T2D512OC512MBDDR3PCIExpress
obj_GalaxyGeForce9400GT512MBDDR2TVDVIPCIExpress;blue;GalaxyGeForce9400GT512MBDDR2TVDVIPCIExpress
obj_XFXGeForceGTS250738M1GBDDR3COREEditionLiteGS250XZDFL;red;XFXGeForceGTS250738M1GBDDR3COREEditionLiteGS250XZDFL
obj_MSI770C45alaplapAM3DDR3;blue;MSI770C45alaplapAM3DDR3
obj_ASRockM3A785GMH128MalaplapAM3DDR3;red;ASRockM3A785GMH128MalaplapAM3DDR3
obj_MSI790XTG45alaplapAM3DDR2;red;MSI790XTG45alaplapAM3DDR2
obj_ASUSM4A785TDVEVOalaplapAM3DDR3;red;ASUSM4A785TDVEVOalaplapAM3DDR3
obj_ASUSM4A78TEalaplapAM3DDR3;green;ASUSM4A78TEalaplapAM3DDR3
obj_ASRock4Core1600GLANMalaplapLGA775DDR2;red;ASRock4Core1600GLANMalaplapLGA775DDR2
obj_ASUSP5KPLSEalaplapLGA775DDR2;green;ASUSP5KPLSEalaplapLGA775DDR2
obj_MSIP45NeoFalaplapLGA775DDR2;red;MSIP45NeoFalaplapLGA775DDR2
obj_ASUSP5EVMSEalaplapLGA775DDR2;blue;ASUSP5EVMSEalaplapLGA775DDR2
obj_ASUSP5QEalaplapLGA775DDR2;red;ASUSP5QEalaplapLGA775DDR2
obj_MSIX48CPlatinumalaplapLGA775DDR3;blue;MSIX48CPlatinumalaplapLGA775DDR3
obj_ASUSMaximusExtremealaplapLGA775DDR3;blue;ASUSMaximusExtremealaplapLGA775DDR3
obj_IntelCeleron1800512kbdobozosSocket775D430;blue;IntelCeleron1800512kbdobozosSocket775D430
obj_IntelP43GHz2MBSocket775631OEM;green;IntelP43GHz2MBSocket775631OEM
obj_ntelCore2Quad23GHz4MBdobozosSocket775Q8200;green;ntelCore2Quad23GHz4MBdobozosSocket775Q8200
obj_IntelCore2Duo3GHz6MBdobozosSocket775E8400;red;IntelCore2Duo3GHz6MBdobozosSocket775E8400
obj_AMDSempron140dobozosSocketAM3;red;AMDSempron140dobozosSocketAM3
obj_AMDAthlonIIX2240dobozosSocketAM3;blue;AMDAthlonIIX2240dobozosSocketAM3
obj_AMDPhenomIIX4955dobozosSocketAM3BlackEdition;red;AMDPhenomIIX4955dobozosSocketAM3BlackEdition
obj_AMDPhenomIIX4965dobozosSocketAM3BlackEdition;green;AMDPhenomIIX4965dobozosSocketAM3BlackEdition
obj_1GB800MHzDDR2RAMGeilValueSPD5;blue;1GB800MHzDDR2RAMGeilValueSPD5
obj_2GB800MHzDDR2RAMKingstonKVR800D2N52GCL5;blue;2GB800MHzDDR2RAMKingstonKVR800D2N52GCL5
obj_2GB800MHzDDR2RAMKingstonHyperX2x1GBKHX6400D2LLK22GNCL4LawLat;red;2GB800MHzDDR2RAMKingstonHyperX2x1GBKHX6400D2LLK22GNCL4LawLat
obj_2GB800MHzDDR2RAMGeilEvoKitSPD52x1GB;green;2GB800MHzDDR2RAMGeilEvoKitSPD52x1GB
obj_4GB800MHzDDR2RAMGeilGreenSPD52X1GB;green;4GB800MHzDDR2RAMGeilGreenSPD52X1GB
obj_4GB800MHzDDR2RAMGeilBlackDRAGONSPD44X1GB;blue;4GB800MHzDDR2RAMGeilBlackDRAGONSPD44X1GB
obj_8GB800MHzDDR2RAMGeilBlackDragon4X2GBSPD4;red;8GB800MHzDDR2RAMGeilBlackDragon4X2GBSPD4
obj_2GB1066MHzDDR2RAMGeilValueSPD62X1GBGREEN;blue;2GB1066MHzDDR2RAMGeilValueSPD62X1GBGREEN
obj_4GB1066MHzDDR2RAMCorsairXMS2kitTWIN2X40968500C5;red;4GB1066MHzDDR2RAMCorsairXMS2kitTWIN2X40968500C5
obj_4GB1066MHzDDR3RAMKingstonKVR1066D3N7K24GCL7;green;4GB1066MHzDDR3RAMKingstonKVR1066D3N7K24GCL7
obj_1GB1333MHzDDR3RAMKingmax;blue;1GB1333MHzDDR3RAMKingmax
obj_6GB1333MHzDDR3RAMKingston3X2GBKVR1333D3N9K36GCL9;blue;6GB1333MHzDDR3RAMKingston3X2GBKVR1333D3N9K36GCL9
obj_2GB1600MHzDDR3RAMGeilValueKitSPD92X1GB;green;2GB1600MHzDDR3RAMGeilValueKitSPD92X1GB
obj_2GB1800MHzDDR3RAMCSXMetalCooler2x1GB;red;2GB1800MHzDDR3RAMCSXMetalCooler2x1GB
obj_MSIRadeonR3650T2D512D2512MBDDR2PCIexpress;green;MSIRadeonR3650T2D512D2512MBDDR2PCIexpress
obj_MSIRadeonR4350MD512H512MBDDR2PCIExpress;red;MSIRadeonR4350MD512H512MBDDR2PCIExpress
obj_SapphireRadeonHD4550512M1GBDDR3PCIEHMHDMI;green;SapphireRadeonHD4550512M1GBDDR3PCIEHMHDMI
obj_SapphireRadeonHD4870VaporX2GBGDDR5PCIExpress;blue;SapphireRadeonHD4870VaporX2GBGDDR5PCIExpress
obj_GigabyteGVNX84S512H8400GS512MBDDR2PCIExpress;red;GigabyteGVNX84S512H8400GS512MBDDR2PCIExpress
